title,author,pub_year,avg_rating,num_ratings,url
The Odyssey,Homer,,3.82,1144112,https://www.goodreads.com/book/show/1381.The_Odyssey
"A Wrinkle in Time (Time Quintet, #1)",Madeleine L'Engle,,3.98,1252909,https://www.goodreads.com/book/show/33574273-a-wrinkle-in-time
Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,,3.89,1744652,https://www.goodreads.com/book/show/35031085-frankenstein
The Kite Runner,Khaled Hosseini,,4.35,3361339,https://www.goodreads.com/book/show/77203.The_Kite_Runner
"The Giver (The Giver, #1)",Lois Lowry,,4.12,2698973,https://www.goodreads.com/book/show/3636.The_Giver
"The Handmaid’s Tale (The Handmaid's Tale, #1)",Margaret Atwood,,4.15,2269114,https://www.goodreads.com/book/show/38447.The_Handmaid_s_Tale
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,,4.58,4610228,https://www.goodreads.com/book/show/5.Harry_Potter_and_the_Prisoner_of_Azkaban
Where the Wild Things Are,Maurice Sendak,,4.25,1037912,https://www.goodreads.com/book/show/19543.Where_the_Wild_Things_Are
Green Eggs and Ham,Dr. Seuss,,4.31,822321,https://www.goodreads.com/book/show/23772.Green_Eggs_and_Ham
The Lovely Bones,Alice Sebold,,3.86,2428941,https://www.goodreads.com/book/show/12232938-the-lovely-bones
The Adventures of Huckleberry Finn,Mark Twain,,3.83,1309927,https://www.goodreads.com/book/show/2956.The_Adventures_of_Huckleberry_Finn
"Dune (Dune, #1)",Frank Herbert,,4.28,1544714,https://www.goodreads.com/book/show/44767458-dune
Life of Pi,Yann Martel,,3.94,1710430,https://www.goodreads.com/book/show/4214.Life_of_Pi
Lolita,Vladimir Nabokov,,3.87,906987,https://www.goodreads.com/book/show/7604.Lolita
A Tale of Two Cities,Charles Dickens,,3.87,990092,https://www.goodreads.com/book/show/1953.A_Tale_of_Two_Cities
Slaughterhouse-Five,Kurt Vonnegut Jr.,,4.1,1437071,https://www.goodreads.com/book/show/4981.Slaughterhouse_Five
Water for Elephants,Sara Gruen,,4.11,1672012,https://www.goodreads.com/book/show/43641.Water_for_Elephants
The Bell Jar,Sylvia Plath,,4.06,1120349,https://www.goodreads.com/book/show/6514.The_Bell_Jar
Matilda,Roald Dahl,,4.33,1052069,https://www.goodreads.com/book/show/39988.Matilda
The Girl With the Dragon Tattoo (Millennium #1),Stieg Larsson,,4.17,3350057,https://www.goodreads.com/book/show/2429135.The_Girl_With_the_Dragon_Tattoo
The Stand,Stephen        King,,4.35,806052,https://www.goodreads.com/book/show/149267.The_Stand
Catch-22,Joseph Heller,,3.99,866613,https://www.goodreads.com/book/show/168668.Catch_22
"The Adventures of Sherlock Holmes (Sherlock Holmes, #3)",Arthur Conan Doyle,,4.3,317951,https://www.goodreads.com/book/show/3590.The_Adventures_of_Sherlock_Holmes
"The Pillars of the Earth (Kingsbridge, #1)",Ken Follett,,4.35,802054,https://www.goodreads.com/book/show/5043.The_Pillars_of_the_Earth
"Watership Down (Watership Down, #1)",Richard  Adams,,4.09,496256,https://www.goodreads.com/book/show/76620.Watership_Down
Rebecca,Daphne du Maurier,,4.25,685676,https://www.goodreads.com/book/show/17899948-rebecca
Great Expectations,Charles Dickens,,3.8,850394,https://www.goodreads.com/book/show/2623.Great_Expectations
The Color Purple,Alice Walker,,4.27,729791,https://www.goodreads.com/book/show/52892857-the-color-purple
"Outlander (Outlander, #1)",Diana Gabaldon,,4.26,1122847,https://www.goodreads.com/book/show/10964.Outlander
Anna Karenina,Leo Tolstoy,,4.1,895758,https://www.goodreads.com/book/show/15823480-anna-karenina
One Flew Over the Cuckoo’s Nest,Ken Kesey,,4.2,762046,https://www.goodreads.com/book/show/332613.One_Flew_Over_the_Cuckoo_s_Nest
"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,,4.4,3010165,https://www.goodreads.com/book/show/61215351-the-fellowship-of-the-ring
My Sister’s Keeper,Jodi Picoult,,4.11,1258170,https://www.goodreads.com/book/show/10917.My_Sister_s_Keeper
The Brothers Karamazov,Fyodor Dostoevsky,,4.38,362912,https://www.goodreads.com/book/show/4934.The_Brothers_Karamazov
A Tree Grows in Brooklyn,Betty  Smith,,4.3,492718,https://www.goodreads.com/book/show/14891.A_Tree_Grows_in_Brooklyn
A Clockwork Orange,Anthony Burgess,,4.0,747845,https://www.goodreads.com/book/show/41817486-a-clockwork-orange
To Kill a Mockingbird,Harper Lee,,4.26,6604289,https://www.goodreads.com/book/show/2654.To_Kill_a_Mockingbird
The Road,Cormac McCarthy,,4.0,985355,https://www.goodreads.com/book/show/6288.The_Road
